"nbagameid","gamedate","season","gametype","nbapersonid","player_name","nbateamid","team","team_name","opposingnbateamid","opp_team","opp_team_name","starter","missed","seconds","points","fg2made","fg2missed","fg2attempted","fg3made","fg3missed","fg3attempted","fgmade","fgmissed","fgattempted","ftmade","ftmissed","ftattempted","reboffensive","rebdefensive","offensivereboundchances","defensivereboundchances","assists","steals","stealsagainst","turnovers","blocks","blocksagainst","defensivefouls","defensivefoulsdrawn","offensivefouls","offensivefoulsdrawn","shootingfouls","shootingfoulsdrawn","shotattempts","shotattemptpoints","offensiveseconds","offensivepossessions","defensiveseconds","defensivepossessions","andones","teampoints","opponentteampoints","teamshotattempts","teamfgmade","teamfgattempted","teamturnovers","opponentteamfg2attempted","opponentteamfg3attempted"
"21700827","2018-02-10T00:00:00.000Z","2017","2","202339","Eric Bledsoe","1610612749","MIL","Milwaukee Bucks","1610612753","ORL","Orlando Magic","1","0","2001.2","18","4","3","7","2","1","3","6","4","10","4","0","4","0","3","20","29","8","1","2","3","0","0","3","3","1","1","2","0","10","14","952.8","66.5","1048.4","66","0","82","79","58","34","56","10","38","21"
"21700827","2018-02-10T00:00:00.000Z","2017","2","1627748","Thon Maker","1610612749","MIL","Milwaukee Bucks","1610612753","ORL","Orlando Magic","1","0","1573","13","4","1","5","1","2","3","5","3","8","2","0","2","0","3","18","27","1","0","0","0","1","0","2","1","0","0","2","1","9","13","718.6","49","854.4","49","0","58","49","44","23","42","6","26","17"
"21700827","2018-02-10T00:00:00.000Z","2017","2","203521","Matthew Dellavedova","1610612749","MIL","Milwaukee Bucks","1610612753","ORL","Orlando Magic","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21700827","2018-02-10T00:00:00.000Z","2017","2","203930","Sean Kilpatrick","1610612749","MIL","Milwaukee Bucks","1610612753","ORL","Orlando Magic","0","0","1439","9","2","2","4","1","4","5","3","6","9","2","0","2","1","3","27","18","3","2","0","0","0","0","0","1","0","0","0","1","10","9","721.9","46.5","717.1","49","0","53","54","50","19","44","4","24","13"
"21700827","2018-02-10T00:00:00.000Z","2017","2","203953","Jabari Parker","1610612749","MIL","Milwaukee Bucks","1610612753","ORL","Orlando Magic","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21700827","2018-02-10T00:00:00.000Z","2017","2","1627763","Malcolm Brogdon","1610612749","MIL","Milwaukee Bucks","1610612753","ORL","Orlando Magic","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21700827","2018-02-10T00:00:00.000Z","2017","2","203503","Tony Snell","1610612749","MIL","Milwaukee Bucks","1610612753","ORL","Orlando Magic","1","0","1623","3","0","0","0","1","2","3","1","2","3","0","0","0","0","2","14","23","2","0","0","0","0","0","1","0","0","0","1","0","3","3","757.6","54.5","865.4","54","0","69","65","45","28","43","9","30","17"
"21700827","2018-02-10T00:00:00.000Z","2017","2","203114","Khris Middleton","1610612749","MIL","Milwaukee Bucks","1610612753","ORL","Orlando Magic","1","0","2141.2","21","7","2","9","1","3","4","8","5","13","4","1","5","0","9","24","31","7","2","4","5","0","1","4","2","0","0","2","2","15","21","987.9","69.5","1153.3","70","0","87","83","64","34","60","10","40","23"
"21700827","2018-02-10T00:00:00.000Z","2017","2","1628425","Sterling Brown","1610612749","MIL","Milwaukee Bucks","1610612753","ORL","Orlando Magic","0","0","1157","0","0","4","4","0","1","1","0","5","5","0","0","0","3","3","24","19","1","1","0","1","0","0","0","0","0","0","0","0","5","0","554.9","37","602.1","39","0","38","35","41","13","36","3","20","13"
"21700827","2018-02-10T00:00:00.000Z","2017","2","203089","John Henson","1610612749","MIL","Milwaukee Bucks","1610612753","ORL","Orlando Magic","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21700827","2018-02-10T00:00:00.000Z","2017","2","203507","Giannis Antetokounmpo","1610612749","MIL","Milwaukee Bucks","1610612753","ORL","Orlando Magic","1","0","2270.8","32","14","9","23","0","1","1","14","10","24","4","3","7","1","4","28","38","5","1","1","3","2","2","2","6","0","0","1","4","27","32","1050.2","74.5","1220.6","75","1","86","75","67","35","63","10","45","24"
"21700827","2018-02-10T00:00:00.000Z","2017","2","203141","Mirza Teletovic","1610612749","MIL","Milwaukee Bucks","1610612753","ORL","Orlando Magic","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
